Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,video_seconds,real_id,viewCount,likeCount,commentCount
2017-11-27,BLK,Hero,히어로,,https://youtu.be/5s_DjeBv9B4,Boy,Major,211,5s_DjeBv9B4,519578,48564,2449
2017-11-26,Hey Men,Jelly,젤리,,https://youtu.be/dTbN75jr-nA,Boy,Minor,261,dTbN75jr-nA,84632,5248,266
2017-11-26,MAP6,Love Is Gone,러브이즈건,,https://youtu.be/-OhRgfEsozc,Boy,Major,207,-OhRgfEsozc,546347,35154,2427
2017-11-26,Busters,La La La,랄랄라,Shindong,https://youtu.be/l-C7No8mdes,Girl,Minor,198,8tpIzrDXFPM,5353,311,16
2017-11-26,MXM,Save The Rest,오늘은 여기까지,,https://youtu.be/m0_7WmpaoH0,Boy,Minor,229,m0_7WmpaoH0,192431,13789,591
2017-11-26,Busters,Dream On,내꿈꿔,Shindong,https://youtu.be/sIkctIzFI5M,Girl,Major,187,Z1mLhjTSrOQ,5549,329,39
2017-11-24,BTS,Mic Drop (Steve Aoki Remix),마이크드롭,Woogie Kim,https://youtu.be/kTlv5_Bs8aw,Boy,Major,274,kTlv5_Bs8aw,1279673593,19452701,3104419
2017-11-23,Pentagon,Violet,바이올렛,,https://youtu.be/nzdDUg5R_IQ,Boy,Minor,249,nzdDUg5R_IQ,806906,49929,1923
2017-11-22,Pentagon,Runaway,런어웨이,,https://youtu.be/vxpRxiNM2sQ,Boy,Major,209,vxpRxiNM2sQ,9341517,318195,9766
2017-11-22,Honeyst,Someone To Love,연애하고싶은데요,,https://youtu.be/atm1nif3-s0,Boy,Major,265,atm1nif3-s0,219804,11443,599
2017-11-22,Blah Blah,Good Job,참 잘했어요,,https://youtu.be/CJARCe-5MnI,Girl,Major,218,CJARCe-5MnI,401241,15539,1664
2017-11-21,KARD,You In Me,유 인 미,Naive,https://youtu.be/tz23WFb8HM0,Co-ed,Major,210,tz23WFb8HM0,18433083,608972,20465
2017-11-21,ZZBae,Stress,스트레스,,https://youtu.be/KQLmtN3la0w,Girl,Major,250,xpFxoPcu1YM,282,8,1
2017-11-20,Epik High,Lost One,개화,,https://youtu.be/LvofNApz01I,Boy,Minor,314,LvofNApz01I,2254623,49884,1944
2017-11-19,Heygirls,No (No One But You),너 아니면,,https://youtu.be/BFYl8CNmCgY,Girl,Major,209,BFYl8CNmCgY,96604,3415,158
2017-11-17,Red Velvet,Peek-A-Boo,피카부,FantazyLab,https://youtu.be/6uJf2IT2Zh8,Girl,Major,230,6uJf2IT2Zh8,231960709,3003514,147359
2017-11-17,"Nell, Groovy Room",Today,오늘은,,https://youtu.be/CGrk5YZC1y0,Boy,Major,257,CGrk5YZC1y0,908359,13069,474
2017-11-16,Snuper,Dear,디어,,https://youtu.be/1sJf0_7AddM,Boy,Minor,233,1sJf0_7AddM,105324,6821,674
2017-11-16,Samuel,Candy,캔디,,https://youtu.be/oddXT5uaRb8,Boy Solo,Major,233,oddXT5uaRb8,6851783,381910,15035
2017-11-15,Fly To The Sky,Your Season,너의 계절,,https://youtu.be/yFOOCA6XW08,Boy,Major,267,yFOOCA6XW08,775742,8055,473
